iterations,top_n,coherence,LL
1000,15,0.07224890593835252,-8.37982
1050,15,0.0714881629090308,-8.37443
1100,15,0.06974286369795689,-8.37143
1150,15,0.0716220482783903,-8.36656
1200,15,0.07051902053692088,-8.36472
1250,15,0.07175943455328597,-8.36432
1300,15,0.07152949251486802,-8.36101
1350,15,0.07048355825377,-8.3626
1400,15,0.07106991585128497,-8.36197
1450,15,0.06931031813809838,-8.35519
1500,15,0.0711461673810429,-8.35499
1550,15,0.0702638400882289,-8.3504
1600,15,0.07085330702337578,-8.35674
1650,15,0.06879385705360916,-8.35019
1700,15,0.06929732883942714,-8.34983
1750,15,0.06980282158478948,-8.34397
1800,15,0.07034900500312374,-8.3426
1850,15,0.07137003565144058,-8.34394
1900,15,0.0702668769423002,-8.34484
1950,15,0.07148114856875717,-8.34986
2000,15,0.07028183541762445,-8.34597
2050,15,0.07171479744050321,-8.34192
2100,15,0.07071414687882692,-8.34357
2150,15,0.07081217379211419,-8.3388
2200,15,0.0700265478166331,-8.33807
2250,15,0.07125930015130515,-8.33603
2300,15,0.0714202866404079,-8.33825
2350,15,0.07171755400693507,-8.34104
2400,15,0.07138434844260366,-8.34112
2450,15,0.07101394641286128,-8.34039
2500,15,0.07008809509856656,-8.34018
2550,15,0.0708899903175664,-8.34059
2600,15,0.06925605217034167,-8.3416
2650,15,0.0697569892645754,-8.33507
2700,15,0.07030075518052743,-8.33273
2750,15,0.06902542344733076,-8.33677
2800,15,0.06973857125855572,-8.34019
2850,15,0.07062312216561,-8.33552
2900,15,0.07145397134617146,-8.3359
2950,15,0.06814655951864945,-8.33701
3000,15,0.06974731260761657,-8.3323
3050,15,0.07078716816773553,-8.33363
3100,15,0.07054709427280452,-8.33096
3150,15,0.07235681601049888,-8.33229
3200,15,0.07220699141353139,-8.32772
3250,15,0.07094037888626663,-8.32633
